Average AUC,Average AUC Features,DT AUC,DT AUC Features,RFW AUC,RFW AUC Features,NAIVE BAYES AUC,NAIVE BAYES Features,KNN AUC,KNN Features,LOGISTIC REGRESSION AUC,LOGISTIC REGRESSION Features
0.874074074074074,"molCharge_total, nof_HBA, nof_Atoms, molLogS",1.0,"nof_HBD, PSA/Area, molArea, molLogP",1.0,"nof_HBA, nof_Chirals, molLogS, molLogP",0.9259259259259259,"C_R0, nof_HBA, nof_Atoms, molVolume",0.9629629629629629,"nof_RotB, C_R0, nof_Chirals, molLogS",0.8888888888888888,"nof_HBD, nof_HBA, molArea, molVolume"
0.874074074074074,"Complexity, molCharge_total, nof_HBD, molArea",1.0,"molCharge_total, PSA/Area, molArea, molLogP",1.0,"molCharge_total, nof_HBD, molArea, molLogP",0.9259259259259259,"C_R0, nof_HBA, nof_Atoms, molLogS",0.9629629629629629,"nof_RotB, C_R0, nof_Rings, nof_Chirals",0.8888888888888888,"Complexity, nof_Atoms, molLogS, molLogP"
0.874074074074074,"C_R0, Complexity, nof_HBA, molArea",1.0,"nof_negCharge, PSA/Area, molArea, molLogP",1.0,"molCharge_total, nof_HBD, nof_Chirals, molArea",0.9259259259259259,"C_R0, nof_HBA, nof_Atoms, molArea",0.9259259259259259,"molCharge_total, nof_HBA, nof_Chirals, molLogS",0.8888888888888888,"Complexity, nof_Atoms, PSA/Area, molLogS"
0.874074074074074,"nof_RotB, molCharge_total, nof_HBA, molLogS",0.9629629629629629,"PSA/Area, molArea, molLogS, molLogP",1.0,"nof_negCharge, molArea, molPSA, molLogP",0.9259259259259259,"C_R0, nof_HBD, nof_Atoms, molWeight",0.9259259259259259,"nof_posCharge, nof_Chirals, PSA/Area, molLogP",0.8888888888888888,"Complexity, nof_HBD, nof_Atoms, molLogS"
0.874074074074074,"nof_RotB, C_R0, nof_HBA, molLogS",0.9629629629629629,"nof_Atoms, PSA/Area, molArea, molLogP",1.0,"nof_negCharge, nof_HBD, molLogP, molVolume",0.9259259259259259,"C_R0, nof_HBD, nof_Atoms, molVolume",0.9259259259259259,"C_R2, molCharge_total, nof_HBA, molLogS",0.8888888888888888,"nof_posCharge, Complexity, nof_Atoms, molLogS"
0.8666666666666668,"Complexity, molCharge_total, molArea, molLogP",0.9629629629629629,"Complexity, molArea, molLogP, molWeight",1.0,"nof_negCharge, nof_HBD, molArea, molLogP",0.9259259259259259,"C_R0, nof_HBD, nof_HBA, molVolume",0.9259259259259259,"C_R0, nof_Rings, molLogS, molLogP",0.8888888888888888,"C_R2, nof_HBA, PSA/Area, molLogS"
0.8666666666666668,"Complexity, molCharge_total, PSA/Area, molArea",0.9629629629629629,"Complexity, molCharge_total, molArea, molWeight",1.0,"nof_negCharge, nof_HBD, nof_HBA, molLogP",0.9259259259259259,"C_R0, nof_HBD, nof_HBA, nof_Atoms",0.9259259259259259,"C_R0, nof_Rings, nof_Chirals, molLogS",0.8888888888888888,"C_R2, Complexity, nof_Atoms, molLogS"
0.8666666666666668,"a_heavy, nof_HBA, PSA/Area, molLogP",0.9629629629629629,"Complexity, molCharge_total, nof_HBA, molArea",1.0,"C_R1, nof_HBA, molLogS, molLogP",0.9259259259259259,"C_R0, Complexity, nof_Atoms, molLogS",0.9259259259259259,"C_R0, nof_posCharge, nof_Rings, nof_HBD",0.8888888888888888,"C_R2, nof_posCharge, nof_HBA, molLogS"
0.8666666666666668,"nof_RotB, C_R1, nof_HBA, molLogS",0.9629629629629629,"Complexity, nof_Rings, PSA/Area, molVolume",1.0,"C_R1, nof_HBA, nof_Chirals, molLogP",0.9259259259259259,"C_R0, nof_posCharge, nof_Atoms, molWeight",0.9259259259259259,"C_R0, nof_negCharge, nof_Rings, molCharge_total",0.8888888888888888,"C_R2, nof_negCharge, nof_HBA, molLogS"
0.8666666666666668,"nof_RotB, C_R0, nof_HBA, molLogP",0.9629629629629629,"nof_posCharge, molCharge_total, molPSA, molLogP",1.0,"C_R1, molCharge_total, molArea, molLogP",0.9259259259259259,"C_R0, nof_posCharge, nof_Atoms, molVolume",0.9259259259259259,"C_R0, C_R2, nof_Rings, PSA/Area",0.8888888888888888,"posCharge/Volume, Complexity, nof_Atoms, molLogS"
0.8666666666666666,"Complexity, PSA/Area, molArea, molVolume",0.9629629629629629,"nof_negCharge, molCharge_total, molPSA, molLogP",1.0,"C_R0, C_R1, nof_negCharge, molArea",0.9259259259259259,"C_R0, nof_posCharge, nof_Atoms, molArea",0.9259259259259259,"C_R0, C_R1, nof_HBA, molLogS",0.8888888888888888,"posCharge/Volume, C_R2, nof_HBA, molLogS"
