|   nof_acetyl  |     nof_OH    |    nof_COOH   |    nof_NH2    |     nof_SH    |    nof_SO3H   |    nof_PO4    | nof_Fragments |    nof_RotB   |negCharge/Volume|posCharge/Volume|     C_sp3     |      C_R1     |    a_heavy    | nof_negCharge | nof_posCharge |   nof_Rings   |    nof_HBD    |    nof_HBA    |  nof_Chirals  |   nof_Atoms   |    PSA/Area   |    molArea    |    molLogS    |    molLogP    |
|      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      41.0     |      4.0      |  0.009716757  |      0.0      |      3.0      |      1.0      |      27.0     |      0.0      |      0.0      |      3.0      |      4.0      |      10.0     |      1.0      |      41.0     |  0.291076373  |    353.567    |    -4.66218   |    2.15131    |
|      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      23.0     |      1.0      |  0.009622231  |      0.0      |      0.0      |      1.0      |      17.0     |      -1.0     |      0.0      |      2.0      |      3.0      |      10.0     |      0.0      |      23.0     |  0.449260138  |    231.327    |    -2.30232   |   -0.290636   |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      33.0     |      3.0      |      0.0      |      0.0      |      2.0      |      0.0      |      18.0     |      -1.0     |      0.0      |      2.0      |      2.0      |      3.0      |      0.0      |      33.0     |  0.133545426  |    270.794    |    -3.91814   |    3.59308    |
|      1.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      47.0     |      9.0      |   0.03583356  |  0.007166712  |      6.0      |      5.0      |      30.0     |      -1.0     |      0.0      |      3.0      |      4.0      |      14.0     |      2.0      |      47.0     |  0.328590537  |    424.644    |    -4.13379   |   -0.115239   |
|      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      40.0     |      2.0      |  0.048286319  |  0.028971791  |      6.0      |      5.0      |      24.0     |      0.0      |      0.0      |      4.0      |      4.0      |      10.0     |      4.0      |      40.0     |  0.309354517  |    334.726    |    -4.99217   |    1.35827    |
|      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      48.0     |      4.0      |  0.112212665  |  0.084159499  |      9.0      |      4.0      |      24.0     |      0.0      |      1.0      |      4.0      |      1.0      |      4.0      |      4.0      |      48.0     |  0.097765576  |    364.613    |    -3.29994   |     2.4134    |
|      0.0      |      1.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      28.0     |      2.0      |  0.113851614  |      0.0      |      5.0      |      8.0      |      15.0     |      0.0      |      0.0      |      2.0      |      3.0      |      5.0      |      2.0      |      28.0     |  0.312248761  |    225.035    |    -1.5625    |    -1.07108   |
|      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      68.0     |      7.0      |  0.229148379  |  0.035253597  |      19.0     |      13.0     |      30.0     |      0.0      |      0.0      |      3.0      |      1.0      |      7.0      |      7.0      |      68.0     |  0.112828601  |    502.814    |    -5.70397   |    4.22882    |
|      0.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      39.0     |      6.0      |  0.100042326  |  0.015391127  |      19.0     |      13.0     |      30.0     |      -1.0     |      0.0      |      3.0      |      5.0      |      11.0     |      2.0      |      39.0     |  0.368441796  |    352.688    |    -4.62301   |   0.0290967   |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      42.0     |      4.0      |  0.062857239  |      0.0      |      8.0      |      3.0      |      21.0     |      -1.0     |      0.0      |      3.0      |      2.0      |      4.0      |      1.0      |      42.0     |  0.145834326  |     327.27    |    -3.61089   |    3.19902    |
