SLC,molVolume,molLogP,molLogS,molPSA,PSA/Area,nof_HBA,nof_HBD,molCharge_total,nof_Rings,Complexity,nof_posCharge,nof_negCharge,C_R2,C_R1,C_R0,C_sp3,posCharge/Volume,negCharge/Volume,nof_PO4,nof_SO3H,nof_SH,nof_NH2,nof_COOH,nof_OH,nof_acetyl
OAT1,96.2035,-0.455608,0.263635,46.0333,0.35979819,4,2,-1,0,69.3,0,-1,0,0,4,3,0,-0.010394632,0,0,0,0,1,1,0
OAT1,95.5813,-0.301796,0.768672,45.3718,0.353969418,4,2,-1,0,69.3,0,-1,0,0,4,3,0,-0.010462298,0,0,0,0,1,1,0
OAT1,163.376,0.759085,-1.21554,59.5105,0.31437469,6,2,-1,1,204,0,-1,0,0,3,1,0,-0.00612085,0,0,0,0,1,0,0
OAT1,135.274,-1.27443,-0.975255,49.7068,0.283787502,5,3,0,0,97,1,-1,0,0,5,4,0.007392404,-0.007392404,0,0,0,1,1,0,0
OAT1,246.784,-2.68489,-1.67721,102.023,0.387759446,7,5,0,2,422,0,0,0,8,2,6,0,0,0,0,0,1,0,3,0
OAT1,185.6,0.94194,-1.80685,53.3653,0.231932287,5,2,-1,0,156,0,-1,0,0,8,6,0,-0.005387931,0,0,0,0,1,0,0
OAT1,175.437,0.405678,-1.627,53.3653,0.27296689,5,2,-1,0,192,0,-1,0,0,7,3,0,-0.005700052,0,0,0,0,1,0,0
OAT1,82.3172,-0.699103,0.741963,45.5494,0.421079197,5,1,-1,0,44.5,0,-1,0,0,3,2,0,-0.012148129,0,0,0,0,1,0,0
OAT1,161.057,0.637831,-1.16896,62.4157,0.323340448,6,2,-1,1,167,0,-1,0,0,3,2,0,-0.006208982,0,0,0,0,1,0,0
OAT1,114.513,0.346125,0.219356,45.5133,0.305515802,5,1,-1,0,74.2,0,-1,0,0,5,4,0,-0.008732633,0,0,0,0,1,0,0
OAT3,164.488,0.199977,1.55167,28.4614,0.139906209,3,1,0,0,115,1,-1,0,0,7,6,0.006079471,-0.006079471,0,0,0,0,1,0,0
OAT3,166.62,1.6207,-2.2539,38.493,0.203549276,3,2,-1,2,205,0,-1,0,0,2,1,0,-0.00600168,0,0,0,0,1,0,0
OAT3,85.7117,0.059772,0.947453,15.2007,0.126843739,1,0,0,0,28.4,1,-1,0,0,3,3,0.011667019,-0.011667019,0,0,0,0,0,0,0
OAT3,150.041,0.825752,-1.31257,44.7987,0.240998343,4,2,-1,1,150,0,-1,0,0,3,2,0,-0.006664845,0,0,0,0,1,1,0
OAT3,174.569,0.953595,-2.64922,48.8818,0.245139516,2,4,1,2,174,1,0,0,0,2,2,0.005728394,0,0,0,0,1,0,0,0
OAT3,151.828,-3.59888,0.297241,98.414,0.489225156,6,6,0,0,105,0,0,0,0,6,6,0,0,0,0,0,0,0,6,0
OAT3,168.114,-2.28789,-0.288822,94.931,0.474617031,6,6,0,0,171,1,-1,0,0,6,4,0.005948345,-0.005948345,0,0,0,2,1,0,0
OAT3,282.683,4.28918,-3.43356,57.2776,0.168274962,6,2,-2,0,202,0,-2,0,0,14,12,0,-0.007075063,0,0,0,0,2,0,0
OAT3,204.018,2.75316,-2.747,45.0702,0.177366317,4,2,-1,0,134,0,-1,0,0,10,9,0,-0.004901528,0,0,0,0,1,1,0
OAT3,440.151,4.86794,-4.95279,60.2802,0.133640016,5,3,-1,4,605,0,-1,6,11,7,23,0,-0.002271948,0,0,0,0,1,2,0
OAT3,147.942,1.78157,-2.77655,38.5173,0.230374894,3,2,-1,2,193,0,-1,0,0,1,0,0,-0.006759406,0,0,0,0,1,0,0
OAT3,129.93,-0.174785,-0.906615,50.4158,0.322438251,4,2,-1,1,127,0,-1,0,0,3,2,0,-0.007696452,0,0,0,0,1,0,0
OAT3,192.827,0.0656623,-1.65673,79.8426,0.337755085,9,2,-2,1,330,0,-2,0,0,3,2,0,-0.010371991,0,1,0,0,1,0,0
OAT3,452.662,3.76526,-4.20034,73.5281,0.165441368,7,3,-1,4,676,0,-1,6,11,7,22,0,-0.002209154,0,0,0,0,1,2,0
OAT3,448.833,3.83893,-4.35683,75.896,0.167745985,6,4,-1,4,637,0,-1,6,11,7,23,0,-0.002228,0,0,0,0,1,3,0
OAT3,442.545,4.88006,-4.72804,60.2802,0.136275716,5,3,-1,4,605,0,-1,6,11,7,23,0,-0.002259657,0,0,0,0,1,2,0
OAT3,151.961,-0.458176,1.16662,61.8782,0.356160173,5,3,-1,0,123,0,-1,0,0,6,5,0,-0.006580636,0,0,0,0,1,2,0
OAT3,175.428,0.22945,0.791741,28.2592,0.142148893,4,0,0,1,160,1,-1,0,5,3,7,0.005700344,-0.005700344,0,0,0,0,1,0,0
OAT3,147.09,-3.01177,0.403408,100.936,0.558323745,8,5,-1,1,205,0,-1,0,5,1,5,0,-0.006798559,0,0,0,0,1,4,0
OAT3,240,1.09576,-2.4675,62.7318,0.236202346,5,3,-1,2,332,0,-1,0,0,5,3,0,-0.004166667,0,0,0,0,1,0,1
OAT3,444.305,3.94511,-4.88481,75.6833,0.164071652,6,4,-1,4,637,0,-1,6,11,7,23,0,-0.002250706,0,0,0,0,1,3,0
OAT3,174.808,-1.90365,0.131694,74.1324,0.35037196,6,4,0,0,170,1,-1,0,0,7,5,0.005720562,-0.005720562,0,0,0,1,1,0,1
OAT3,191.565,2.66516,-3.06626,38.4666,0.1902206,3,2,-1,2,250,0,-1,0,0,3,0,0,-0.00522016,0,0,0,0,1,0,0
