|     nof_OH    |    nof_COOH   |    nof_NH2    | nof_Fragments |    nof_RotB   |negCharge/Volume|posCharge/Volume|     C_sp3     |      C_R0     |      C_R1     |    a_heavy    | nof_negCharge | nof_posCharge |   Complexity  |   nof_Rings   |molCharge_total|    nof_HBD    |    nof_HBA    |  nof_Chirals  |   nof_Atoms   |    molArea    |     molPSA    |    molLogS    |    molLogP    |   molWeight   |
|      5.0      |      0.0      |      0.0      |      22.0     |      4.0      |      0.0      |      0.0      |      5.0      |      5.0      |      0.0      |      10.0     |      0.0      |      0.0      |      76.1     |      0.0      |      0.0      |      5.0      |      5.0      |      2.0      |      22.0     |    173.039    |    82.7293    |    0.471138   |    -2.93514   |    152.068    |
|      0.0      |      1.0      |      3.0      |      29.0     |      6.0      |  -0.005644679 |  0.011289358  |      5.0      |      7.0      |      0.0      |      13.0     |      -1.0     |      2.0      |     189.0     |      0.0      |      1.0      |      7.0      |      5.0      |      1.0      |      29.0     |    215.712    |    99.1357    |    -1.05883   |    -1.92456   |    188.127    |
|      0.0      |      1.0      |      0.0      |      53.0     |      15.0     |  -0.003088011 |      0.0      |      16.0     |      17.0     |      0.0      |      19.0     |      -1.0     |      0.0      |     190.0     |      0.0      |      -1.0     |      1.0      |      3.0      |      0.0      |      53.0     |    401.208    |    28.8938    |    -6.08423   |    7.13647    |    270.256    |
|      0.0      |      1.0      |      0.0      |      62.0     |      18.0     |  -0.002648642 |      0.0      |      19.0     |      20.0     |      0.0      |      22.0     |      -1.0     |      0.0      |     226.0     |      0.0      |      -1.0     |      1.0      |      3.0      |      0.0      |      62.0     |    465.312    |    28.8938    |    -7.3506    |    8.58229    |    312.303    |
|      0.0      |      1.0      |      0.0      |      15.0     |      3.0      |  -0.00883806  |      0.0      |      2.0      |      4.0      |      0.0      |      8.0      |      -1.0     |      0.0      |     110.0     |      0.0      |      -1.0     |      2.0      |      5.0      |      0.0      |      15.0     |     140.43    |    53.4778    |   -0.101051   |    -1.00039   |    117.043    |
|      0.0      |      1.0      |      0.0      |      47.0     |      13.0     |  -0.003471981 |      0.0      |      14.0     |      15.0     |      0.0      |      17.0     |      -1.0     |      0.0      |     166.0     |      0.0      |      -1.0     |      1.0      |      3.0      |      0.0      |      47.0     |    358.471    |    28.8938    |    -5.23998   |     6.1726    |    242.225    |
|      0.0      |      1.0      |      0.0      |      21.0     |      5.0      |  -0.006710959 |      0.0      |      4.0      |      6.0      |      0.0      |      10.0     |      -1.0     |      0.0      |     133.0     |      0.0      |      -1.0     |      2.0      |      5.0      |      0.0      |      21.0     |     180.35    |    53.3193    |    0.467716   |   -0.237809   |    145.074    |
|      0.0      |      2.0      |      0.0      |      21.0     |      5.0      |  -0.012587879 |      0.0      |      3.0      |      6.0      |      0.0      |      12.0     |      -2.0     |      0.0      |     212.0     |      0.0      |      -2.0     |      3.0      |      8.0      |      1.0      |      21.0     |     183.42    |    81.5164    |    0.532366   |    -1.4874    |    175.048    |
|      1.0      |      1.0      |      0.0      |      19.0     |      4.0      |  -0.007284966 |      0.0      |      3.0      |      5.0      |      0.0      |      10.0     |      -1.0     |      0.0      |     145.0     |      0.0      |      -1.0     |      3.0      |      6.0      |      1.0      |      19.0     |    165.525    |    70.2477    |     0.2241    |    -1.7278    |    147.053    |
|      0.0      |      1.0      |      0.0      |      18.0     |      4.0      |  -0.007627532 |      0.0      |      3.0      |      5.0      |      0.0      |      9.0      |      -1.0     |      0.0      |     121.0     |      0.0      |      -1.0     |      2.0      |      5.0      |      0.0      |      18.0     |    159.249    |    53.3193    |    0.609375   |   -0.719748   |    131.058    |
|      1.0      |      1.0      |      0.0      |      21.0     |      3.0      |  -0.007621196 |      0.0      |      5.0      |      6.0      |      0.0      |      9.0      |      -1.0     |      0.0      |      98.5     |      0.0      |      -1.0     |      2.0      |      4.0      |      1.0      |      21.0     |    169.895    |    45.0702    |    -1.09179   |    0.664183   |    132.079    |
|      0.0      |      3.0      |      1.0      |      35.0     |      10.0     |  -0.011870329 |  0.003956776  |      6.0      |      10.0     |      0.0      |      19.0     |      -3.0     |      1.0      |     369.0     |      0.0      |      -2.0     |      6.0      |      12.0     |      2.0      |      35.0     |    283.567    |    130.601    |   -0.368753   |    -3.09432   |    276.096    |
|      0.0      |      1.0      |      0.0      |      15.0     |      1.0      |  -0.008453085 |      0.0      |      3.0      |      1.0      |      3.0      |      8.0      |      -1.0     |      0.0      |     106.0     |      1.0      |      -1.0     |      2.0      |      5.0      |      1.0      |      15.0     |    141.706    |    42.0722    |   -0.916708   |    -1.25533   |     133.02    |
|      0.0      |      1.0      |      0.0      |      18.0     |      4.0      |  -0.007557379 |      0.0      |      3.0      |      5.0      |      0.0      |      9.0      |      -1.0     |      0.0      |     121.0     |      0.0      |      -1.0     |      2.0      |      5.0      |      0.0      |      18.0     |     163.57    |    53.3653    |   -0.540684   |   -0.503877   |    131.058    |
|      2.0      |      0.0      |      1.0      |      27.0     |      7.0      |      0.0      |  0.005830564  |      5.0      |      5.0      |      0.0      |      13.0     |      0.0      |      1.0      |     176.0     |      0.0      |      1.0      |      5.0      |      8.0      |      1.0      |      27.0     |    218.192    |    100.462    |    1.36712    |    -3.82444   |    215.056    |
|      0.0      |      1.0      |      0.0      |      23.0     |      4.0      |  -0.01120982  |      0.0      |      1.0      |      3.0      |      0.0      |      14.0     |      -2.0     |      0.0      |     221.0     |      1.0      |      -2.0     |      3.0      |      6.0      |      0.0      |      23.0     |     208.4     |    70.9242    |    -1.58612   |    0.175289   |    195.053    |
|      1.0      |      1.0      |      0.0      |      22.0     |      4.0      |  -0.006587962 |      0.0      |      4.0      |      6.0      |      0.0      |      11.0     |      -1.0     |      0.0      |     168.0     |      0.0      |      -1.0     |      3.0      |      6.0      |      2.0      |      22.0     |    185.606    |    68.8649    |    0.589246   |    -1.32608   |    161.069    |
|      0.0      |      0.0      |      0.0      |      19.0     |      4.0      |  -0.007068736 |      0.0      |      3.0      |      4.0      |      0.0      |      10.0     |      -1.0     |      0.0      |     202.0     |      0.0      |      -1.0     |      2.0      |      7.0      |      0.0      |      19.0     |    172.019    |    67.9949    |    0.383172   |    -2.23228   |    167.025    |
|      0.0      |      1.0      |      2.0      |      27.0     |      4.0      |  -0.005421876 |  0.005421876  |      2.0      |      4.0      |      0.0      |      15.0     |      -1.0     |      1.0      |     255.0     |      1.0      |      0.0      |      5.0      |      6.0      |      1.0      |      27.0     |    222.152    |    82.7783    |    -1.50023   |    -1.52603   |    208.085    |
|      1.0      |      1.0      |      0.0      |      21.0     |      3.0      |  -0.007799947 |      0.0      |      5.0      |      6.0      |      0.0      |      9.0      |      -1.0     |      0.0      |     101.0     |      0.0      |      -1.0     |      2.0      |      4.0      |      2.0      |      21.0     |    169.227    |    44.6028    |    -1.07121   |    0.691564   |    132.079    |
|      0.0      |      2.0      |      1.0      |      26.0     |      7.0      |  -0.010629534 |  0.005314767  |      4.0      |      7.0      |      0.0      |      14.0     |      -2.0     |      1.0      |     240.0     |      0.0      |      -1.0     |      5.0      |      9.0      |      1.0      |      26.0     |    223.797    |    102.562    |   -0.467759   |    -3.08926   |    204.075    |
|      0.0      |      1.0      |      0.0      |      28.0     |      5.0      |  -0.004789891 |      0.0      |      4.0      |      6.0      |      0.0      |      15.0     |      -1.0     |      0.0      |     257.0     |      1.0      |      -1.0     |      2.0      |      6.0      |      1.0      |      28.0     |    236.253    |    64.5879    |   -0.353913   |    -1.1937    |    211.096    |
|      0.0      |      1.0      |      0.0      |      26.0     |      6.0      |  -0.005197019 |      0.0      |      5.0      |      7.0      |      0.0      |      13.0     |      -1.0     |      0.0      |     229.0     |      0.0      |      -1.0     |      2.0      |      8.0      |      1.0      |      26.0     |    227.956    |    68.5329    |   -0.659543   |    -1.06292   |    207.057    |
|      1.0      |      2.0      |      0.0      |      21.0     |      5.0      |  -0.013796814 |      0.0      |      4.0      |      6.0      |      0.0      |      11.0     |      -2.0     |      0.0      |     153.0     |      0.0      |      -2.0     |      3.0      |      7.0      |      1.0      |      21.0     |    173.773    |    73.4541    |     0.3258    |   -0.576069   |    162.053    |
|      0.0      |      1.0      |      0.0      |      22.0     |      6.0      |  -0.006179782 |      0.0      |      4.0      |      6.0      |      0.0      |      11.0     |      -1.0     |      0.0      |     140.0     |      0.0      |      -1.0     |      2.0      |      6.0      |      1.0      |      22.0     |    189.889    |    54.4196    |   -0.699091   |   -0.253377   |    177.046    |
|      1.0      |      1.0      |      0.0      |      19.0     |      3.0      |  -0.007413558 |      0.0      |      2.0      |      3.0      |      0.0      |      11.0     |      -1.0     |      0.0      |     151.0     |      1.0      |      -1.0     |      3.0      |      5.0      |      1.0      |      19.0     |     159.64    |    66.5922    |   -0.404027   |    -1.18452   |    156.053    |
|      0.0      |      2.0      |      0.0      |      12.0     |      2.0      |  -0.018062768 |      0.0      |      0.0      |      4.0      |      0.0      |      8.0      |      -2.0     |      0.0      |     119.0     |      0.0      |      -2.0     |      2.0      |      6.0      |      0.0      |      12.0     |    114.905    |    57.2776    |   -0.852268   |    0.226268   |    116.011    |
|      0.0      |      1.0      |      0.0      |      52.0     |      13.0     |  -0.002467223 |      0.0      |      9.0      |      20.0     |      0.0      |      22.0     |      -1.0     |      0.0      |     398.0     |      0.0      |      -1.0     |      1.0      |      3.0      |      0.0      |      52.0     |    412.334    |    28.8938    |    -4.69362   |    6.43786    |    302.225    |
|      0.0      |      0.0      |      0.0      |      37.0     |      4.0      |      0.0      |      0.0      |      2.0      |      5.0      |      0.0      |      19.0     |      0.0      |      0.0      |     178.0     |      2.0      |      0.0      |      1.0      |      1.0      |      0.0      |      37.0     |    314.472    |    20.2538    |    -4.68107   |     4.1766    |    250.147    |
|      0.0      |      1.0      |      0.0      |      19.0     |      1.0      |  -0.007048806 |      0.0      |      4.0      |      1.0      |      5.0      |      10.0     |      -1.0     |      0.0      |     166.0     |      1.0      |      -1.0     |      2.0      |      5.0      |      1.0      |      19.0     |    164.619    |     54.293    |    -0.5449    |   -0.378136   |    143.058    |
|      1.0      |      2.0      |      0.0      |      33.0     |      9.0      |  -0.00928656  |      0.0      |      8.0      |      10.0     |      0.0      |      15.0     |      -2.0     |      0.0      |     202.0     |      0.0      |      -2.0     |      3.0      |      7.0      |      1.0      |      33.0     |    258.993    |    73.8972    |   -0.535334   |    1.28284    |    218.115    |
|      1.0      |      1.0      |      0.0      |      29.0     |      8.0      |  -0.004725072 |      0.0      |      6.0      |      8.0      |      0.0      |      14.0     |      -1.0     |      0.0      |     198.0     |      0.0      |      -1.0     |      3.0      |      7.0      |      1.0      |      29.0     |     254.81    |    69.7881    |   -0.764619   |    -0.71847   |    221.072    |
|      0.0      |      2.0      |      1.0      |      43.0     |      9.0      |  -0.006349025 |  0.003174512  |      5.0      |      8.0      |      0.0      |      24.0     |      -2.0     |      1.0      |     484.0     |      2.0      |      -1.0     |      6.0      |      9.0      |      2.0      |      43.0     |    346.702    |    111.816    |    -2.89086   |   -0.993107   |    333.132    |
|      0.0      |      3.0      |      2.0      |      49.0     |      16.0     |  -0.008083421 |  0.005388947  |      8.0      |      13.0     |      0.0      |      27.0     |      -3.0     |      2.0      |     562.0     |      0.0      |      -1.0     |      9.0      |      17.0     |      3.0      |      49.0     |    423.809    |    176.074    |    -2.67551   |    -5.56323   |    426.088    |
