,Average AUC,Average CA,Average AUC Features,DT AUC,DT CA,DT AUC Features,RFW AUC,RFW CA,RFW AUC Features
246,0.8095238095238095,0.7440277777777777,"nof_SO3H, negCharge/Volume, posCharge/Volume, nof_negCharge, nof_Chirals, PSA/Area, molLogS",0.7976190476190477,0.6944444444444444,"nof_acetyl, nof_NH2, nof_PO4, negCharge/Volume, nof_negCharge, molPSA, molLogS",0.8809523809523809,0.7936111111111112,"nof_OH, nof_NH2, negCharge/Volume, posCharge/Volume, C_R0, PSA/Area, molLogS"
297,0.8095238095238095,0.7455555555555555,"nof_COOH, nof_PO4, posCharge/Volume, C_R0, nof_posCharge, nof_Chirals, molLogP",0.7857142857142857,0.7011111111111111,"posCharge/Volume, C_R1, nof_posCharge, Complexity, molCharge_total, PSA/Area, molLogP",0.8809523809523809,0.79,"nof_OH, nof_COOH, posCharge/Volume, C_R0, nof_posCharge, PSA/Area, molLogP"
261,0.8095238095238095,0.7648611111111112,"nof_NH2, posCharge/Volume, C_R0, nof_negCharge, PSA/Area, molPSA, molLogP",0.7976190476190477,0.7436111111111112,"nof_acetyl, nof_OH, nof_NH2, nof_Fragments, nof_posCharge, molPSA, molWeight",0.8809523809523809,0.7861111111111111,"nof_OH, nof_NH2, nof_SO3H, posCharge/Volume, nof_negCharge, PSA/Area, molLogP"
235,0.8154761904761905,0.6983333333333334,"nof_acetyl, nof_OH, nof_NH2, nof_SO3H, nof_negCharge, nof_posCharge, PSA/Area",0.7976190476190477,0.6136111111111111,"nof_acetyl, nof_SH, nof_negCharge, Complexity, molCharge_total, nof_Chirals, molPSA",0.8809523809523809,0.7830555555555556,"nof_OH, nof_NH2, C_R0, nof_posCharge, nof_Chirals, PSA/Area, molLogP"
252,0.8095238095238095,0.7119444444444445,"nof_SO3H, nof_PO4, nof_Fragments, negCharge/Volume, posCharge/Volume, nof_negCharge, PSA/Area",0.7976190476190477,0.6413888888888889,"nof_acetyl, nof_NH2, nof_SH, nof_SO3H, negCharge/Volume, molPSA, molLogS",0.8809523809523809,0.7825000000000001,"nof_OH, nof_NH2, nof_PO4, negCharge/Volume, PSA/Area, molPSA, molLogS"
200,0.8154761904761905,0.75,"nof_OH, nof_COOH, nof_NH2, nof_SO3H, negCharge/Volume, nof_posCharge, PSA/Area",0.7976190476190477,0.7180555555555556,"nof_OH, nof_NH2, nof_SO3H, nof_Fragments, posCharge/Volume, molPSA, molWeight",0.8809523809523809,0.7819444444444444,"nof_OH, nof_SO3H, posCharge/Volume, C_R0, nof_negCharge, PSA/Area, molLogP"
248,0.8095238095238095,0.71125,"nof_SO3H, nof_Fragments, posCharge/Volume, nof_negCharge, nof_posCharge, PSA/Area, molLogS",0.7976190476190477,0.6408333333333334,"nof_acetyl, nof_NH2, nof_PO4, nof_Fragments, posCharge/Volume, nof_Chirals, molWeight",0.8809523809523809,0.7816666666666667,"nof_OH, nof_NH2, nof_PO4, molCharge_total, PSA/Area, molPSA, molLogS"
266,0.8095238095238095,0.7276388888888888,"nof_NH2, nof_SO3H, nof_negCharge, nof_posCharge, nof_Chirals, PSA/Area, molLogS",0.7976190476190477,0.6736111111111109,"nof_acetyl, nof_OH, nof_NH2, nof_PO4, posCharge/Volume, C_R0, molPSA",0.8809523809523809,0.7816666666666666,"nof_OH, nof_NH2, nof_SO3H, negCharge/Volume, C_R0, PSA/Area, molLogS"
152,0.8154761904761905,0.7327777777777778,"nof_OH, nof_NH2, nof_SO3H, posCharge/Volume, nof_negCharge, PSA/Area, molLogP",0.7976190476190477,0.6841666666666667,"nof_NH2, nof_SH, nof_PO4, nof_Fragments, posCharge/Volume, nof_Chirals, molWeight",0.8809523809523809,0.7813888888888889,"nof_NH2, nof_SO3H, posCharge/Volume, nof_posCharge, nof_Chirals, molPSA, molLogS"
64,0.8214285714285714,0.7616666666666667,"nof_OH, nof_NH2, nof_SH, nof_SO3H, nof_Fragments, posCharge/Volume, molPSA",0.8095238095238095,0.7427777777777778,"nof_OH, nof_COOH, nof_NH2, nof_SO3H, nof_Fragments, molPSA, molLogS",0.8928571428571429,0.7805555555555557,"nof_OH, nof_SH, nof_SO3H, C_R0, nof_negCharge, PSA/Area, molLogP"
59,0.8214285714285714,0.6986111111111111,"nof_OH, nof_NH2, nof_SH, nof_Fragments, posCharge/Volume, nof_negCharge, molPSA",0.8095238095238095,0.6166666666666667,"nof_OH, nof_COOH, nof_SH, nof_SO3H, nof_Fragments, nof_posCharge, molPSA",0.8928571428571429,0.7805555555555556,"nof_OH, nof_SO3H, nof_PO4, nof_Fragments, PSA/Area, molLogS, molLogP"
88,0.8214285714285714,0.7424999999999999,"nof_acetyl, nof_OH, nof_NH2, nof_SH, nof_Fragments, posCharge/Volume, molPSA",0.8095238095238095,0.7044444444444443,"nof_acetyl, nof_OH, nof_COOH, nof_SH, nof_Fragments, posCharge/Volume, molPSA",0.8928571428571429,0.7805555555555556,"nof_OH, nof_NH2, nof_SH, negCharge/Volume, C_R0, PSA/Area, molLogS"
295,0.8095238095238095,0.74875,"nof_COOH, nof_PO4, posCharge/Volume, nof_posCharge, nof_Chirals, PSA/Area, molLogS",0.7857142857142857,0.7183333333333334,"posCharge/Volume, C_R1, Complexity, molCharge_total, nof_Chirals, PSA/Area, molLogP",0.8809523809523809,0.7791666666666667,"nof_OH, nof_COOH, C_R0, nof_posCharge, PSA/Area, molLogP, molWeight"
,Average AUC,Average CA,Average AUC Features,DT AUC,DT CA,DT AUC Features,RFW AUC,RFW CA,RFW AUC Features
222,0.8154761904761905,0.7695833333333333,"nof_acetyl, nof_OH, nof_Fragments, nof_posCharge, nof_Chirals, PSA/Area, molLogS",0.7976190476190477,0.7847222222222222,"nof_OH, nof_COOH, nof_NH2, nof_SO3H, nof_Fragments, molPSA, molWeight",0.8809523809523809,0.7544444444444445,"nof_OH, nof_SH, negCharge/Volume, posCharge/Volume, PSA/Area, molLogS, molLogP"
185,0.8154761904761905,0.7463888888888891,"nof_OH, nof_COOH, nof_SH, posCharge/Volume, nof_Chirals, PSA/Area, molLogS",0.7976190476190477,0.7738888888888888,"nof_OH, nof_NH2, nof_Fragments, nof_negCharge, nof_posCharge, molPSA, molWeight",0.8809523809523809,0.7188888888888891,"nof_OH, negCharge/Volume, nof_negCharge, nof_Chirals, PSA/Area, molLogS, molLogP"
260,0.8095238095238095,0.7702777777777777,"nof_SH, nof_SO3H, nof_PO4, nof_Fragments, posCharge/Volume, nof_posCharge, molPSA",0.7976190476190477,0.7702777777777777,"nof_acetyl, nof_OH, nof_NH2, nof_Fragments, molCharge_total, molPSA, molWeight",0.8809523809523809,0.7702777777777777,"nof_OH, nof_NH2, nof_SO3H, C_R0, nof_posCharge, PSA/Area, molLogP"
281,0.8095238095238095,0.7083333333333334,"nof_NH2, nof_SH, nof_SO3H, molCharge_total, nof_Chirals, molLogS, molLogP",0.7857142857142857,0.765,"C_R1, nof_posCharge, Complexity, molCharge_total, nof_Chirals, PSA/Area, molLogP",0.8809523809523809,0.6516666666666667,"nof_OH, nof_NH2, nof_SH, negCharge/Volume, C_R0, nof_posCharge, PSA/Area"
48,0.8214285714285714,0.7422222222222221,"nof_OH, nof_SH, nof_SO3H, nof_PO4, negCharge/Volume, PSA/Area, molPSA",0.8095238095238095,0.7641666666666665,"nof_OH, nof_NH2, nof_PO4, nof_Fragments, nof_posCharge, molPSA, molLogS",0.8928571428571429,0.7202777777777778,"nof_OH, nof_PO4, negCharge/Volume, nof_negCharge, nof_posCharge, PSA/Area, molLogS"
150,0.8154761904761905,0.7833333333333332,"nof_OH, nof_NH2, nof_SO3H, C_R0, molCharge_total, PSA/Area, molPSA",0.7976190476190477,0.7625,"nof_NH2, nof_SH, nof_Fragments, posCharge/Volume, C_R1, nof_negCharge, molWeight",0.8809523809523809,0.8041666666666666,"nof_NH2, nof_SO3H, C_R0, nof_posCharge, nof_Chirals, PSA/Area, molLogS"
207,0.8154761904761905,0.7498611111111111,"nof_OH, nof_COOH, nof_NH2, nof_SH, nof_SO3H, PSA/Area, molLogS",0.7976190476190477,0.7583333333333334,"nof_OH, nof_NH2, nof_SH, nof_Fragments, nof_posCharge, molPSA, molWeight",0.8809523809523809,0.7413888888888889,"nof_OH, nof_SO3H, nof_PO4, posCharge/Volume, nof_negCharge, PSA/Area, molPSA"
218,0.8154761904761905,0.7634722222222223,"nof_acetyl, nof_NH2, nof_PO4, negCharge/Volume, C_R1, nof_posCharge, PSA/Area",0.7976190476190477,0.7555555555555556,"nof_OH, nof_COOH, nof_NH2, nof_Fragments, nof_posCharge, molPSA, molWeight",0.8809523809523809,0.7713888888888889,"nof_OH, nof_SH, posCharge/Volume, C_R0, nof_posCharge, PSA/Area, molLogP"
