|  Sub Pathway  | Super Pathway |   nof_acetyl  |     nof_OH    |    nof_COOH   |    nof_NH2    |     nof_SH    |    nof_SO3H   |    nof_PO4    | nof_Fragments |negCharge/Volume|posCharge/Volume|      C_R0     |      C_R1     | nof_negCharge | nof_posCharge |   Complexity  |   nof_Rings   |molCharge_total|  nof_Chirals  |    PSA/Area   |     molPSA    |    molLogS    |    molLogP    |   molWeight   |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      24.0     |  -0.005963243 |      0.0      |      7.0      |      0.0      |      -1.0     |      0.0      |     145.0     |      0.0      |      -1.0     |      0.0      |  0.254390615  |    53.3653    |    -1.38473   |    0.460001   |     159.09    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      66.0     |  -0.002379723 |      0.0      |      22.0     |      0.0      |      -1.0     |      0.0      |     284.0     |      0.0      |      -1.0     |      0.0      |  0.057858187  |    28.8938    |    -7.66176   |    9.07753    |    338.318    |
|       0       |       0       |      0.0      |      2.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      63.0     |      0.0      |      0.0      |      21.0     |      0.0      |      0.0      |      0.0      |     350.0     |      0.0      |      0.0      |      1.0      |   0.11241217  |    54.7789    |    -5.09413   |    5.80179    |    354.277    |
|       0       |       0       |      0.0      |      2.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      63.0     |      0.0      |      0.0      |      21.0     |      0.0      |      0.0      |      0.0      |     346.0     |      0.0      |      0.0      |      0.0      |  0.112438654  |    54.3443    |    -5.38751   |    5.68954    |    354.277    |
|       0       |       0       |      0.0      |      0.0      |      2.0      |      2.0      |      0.0      |      0.0      |      0.0      |      40.0     |  -0.007470408 |  0.007470408  |      11.0     |      0.0      |      -2.0     |      2.0      |     322.0     |      0.0      |      0.0      |      2.0      |  0.389903772  |    123.217    |   -0.657137   |    -3.51057   |    275.148    |
|       0       |       0       |      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      1.0      |     123.0     |  -0.001234627 |  0.001234627  |      39.0     |      0.0      |      -1.0     |      1.0      |     866.0     |      0.0      |      0.0      |      1.0      |  0.114417559  |    106.866    |    -11.0545   |    10.8059    |    715.515    |
|       0       |       0       |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      1.0      |     129.0     |  -0.001240059 |  0.001240059  |      39.0     |      0.0      |      -1.0     |      1.0      |     755.0     |      0.0      |      0.0      |      2.0      |  0.088455762  |    85.3936    |    -9.58438   |    12.0215    |    704.583    |
|       0       |       0       |      0.0      |      2.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      19.0     |  -0.007644559 |      0.0      |      5.0      |      0.0      |      -1.0     |      0.0      |     118.0     |      0.0      |      -1.0     |      1.0      |  0.386080746  |    60.3228    |    1.01752    |   -0.919459   |    134.058    |
|       0       |       0       |      0.0      |      2.0      |      0.0      |      1.0      |      0.0      |      0.0      |      1.0      |      37.0     |      0.0      |      0.0      |      1.0      |      4.0      |      0.0      |      0.0      |     481.0     |      3.0      |      0.0      |      4.0      |  0.477692102  |    144.531    |    -1.9276    |    -4.15813   |    347.063    |
|       0       |       0       |      0.0      |      2.0      |      0.0      |      1.0      |      0.0      |      0.0      |      1.0      |      38.0     |  -0.003578983 |      0.0      |      1.0      |      6.0      |      -1.0     |      0.0      |     598.0     |      3.0      |      -1.0     |      4.0      |  0.520408861  |    159.918    |    -2.2252    |    -4.61334   |    363.058    |
|       0       |       0       |      0.0      |      0.0      |      2.0      |      2.0      |      0.0      |      0.0      |      0.0      |      40.0     |  -0.007459486 |  0.007459486  |      11.0     |      0.0      |      -2.0     |      2.0      |     322.0     |      0.0      |      0.0      |      2.0      |  0.399809448  |    123.372    |   -0.772813   |    -2.97037   |    275.148    |
|       0       |       0       |      1.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      25.0     |  -0.005395286 |      0.0      |      7.0      |      0.0      |      -1.0     |      0.0      |     227.0     |      0.0      |      -1.0     |      1.0      |  0.418199219  |    86.5204    |    -0.39467   |    -1.53255   |     188.08    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      57.0     |  -0.002728528 |      0.0      |      19.0     |      0.0      |      -1.0     |      0.0      |     246.0     |      0.0      |      -1.0     |      0.0      |  0.066379039  |    28.8938    |    -6.39539   |    7.63171    |    296.272    |
|       0       |       0       |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      79.0     |  -0.001992675 |  0.001992675  |      25.0     |      0.0      |      -1.0     |      1.0      |     426.0     |      0.0      |      0.0      |      1.0      |   0.08135736  |     48.087    |    -5.35183   |    7.37767    |    427.366    |
|       0       |       0       |      0.0      |      4.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      48.0     |  -0.003082681 |  0.003082681  |      4.0      |      5.0      |      -1.0     |      1.0      |     508.0     |      3.0      |      0.0      |      6.0      |  0.362839327  |    131.563    |    -2.33477   |    -2.98461   |    366.143    |
|       0       |       0       |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      1.0      |     129.0     |  -0.00121077  |   0.00121077  |      40.0     |      0.0      |      -1.0     |      1.0      |     794.0     |      0.0      |      0.0      |      1.0      |   0.07657289  |    74.7928    |    -10.3846   |    13.1417    |    717.567    |
|       0       |       0       |      0.0      |      1.0      |      0.0      |      1.0      |      0.0      |      0.0      |      1.0      |      76.0     |  -0.001941695 |  0.001941695  |      23.0     |      0.0      |      -1.0     |      1.0      |     555.0     |      0.0      |      0.0      |      1.0      |  0.176161155  |    103.881    |    -4.50425   |     3.585     |    477.286    |
