SLC,molWeight,molLogP,molLogS,molPSA,molArea,nof_Atoms,nof_Chirals,nof_HBA,nof_HBD,molCharge_total,nof_Rings,Complexity,nof_posCharge,nof_negCharge,a_heavy,C_R1,C_R0,C_sp3,posCharge/Volume,negCharge/Volume,nof_RotB,nof_Fragments,nof_NH2,nof_COOH,nof_OH
OAT1,298.287,8.10035,-6.92848,28.8938,443.944,59,0,3,1,-1,0,214,0,-1,21,0,19,18,0,-0.00278052,17,59,0,1,0
OAT1,118.063,0.115147,-0.428323,44.6028,150.411,18,1,4,2,-1,0,87.7,0,-1,8,0,5,4,0,-0.008851829,2,18,0,1,1
OAT1,118.063,0.12081,-0.230924,46.0333,151.366,18,1,4,2,-1,0,79.7,0,-1,8,0,5,4,0,-0.008744928,3,18,0,1,1
OAT1,384.122,-3.35586,-3.55625,141.792,379.311,46,5,11,7,0,3,504,1,-1,26,4,5,8,0.003139816,-0.003139816,7,46,2,1,2
OAT1,222.067,-3.81644,-1.32608,98.9038,240.608,28,2,9,6,0,0,212,2,-2,14,0,7,5,0.010324339,-0.010324339,7,28,2,2,0
OAT1,733.562,12.5502,-9.78625,85.2779,988.904,130,1,11,0,0,0,826,1,-1,50,0,40,38,0.001206961,-0.001206961,40,130,0,0,0
OAT1,159.09,0.460001,-1.38473,53.3653,209.777,24,0,5,2,-1,0,145,0,-1,11,0,7,5,0,-0.005963243,6,24,0,1,0
OAT1,338.318,9.07753,-7.66176,28.8938,499.39,66,0,3,1,-1,0,284,0,-1,24,0,22,19,0,-0.002379723,19,66,0,1,0
OAT1,354.277,5.80179,-5.09413,54.7789,487.304,63,1,5,2,0,0,350,0,0,25,0,21,16,0,0,18,63,0,0,2
OAT1,354.277,5.68954,-5.38751,54.3443,483.324,63,0,5,2,0,0,346,0,0,25,0,21,16,0,0,18,63,0,0,2
OAT1,275.148,-3.51057,-0.657137,123.217,316.019,40,2,10,7,0,0,322,2,-2,19,0,11,8,0.007470408,-0.007470408,11,40,2,2,0
OAT1,715.515,10.8059,-11.0545,106.866,934,123,1,12,3,0,0,866,1,-1,49,0,39,33,0.001234627,-0.001234627,39,123,1,0,0
OAT1,704.583,12.0215,-9.58438,85.3936,965.382,129,2,8,2,0,0,755,1,-1,48,0,39,38,0.001240059,-0.001240059,38,129,0,0,1
OAT1,134.058,-0.919459,1.01752,60.3228,156.244,19,1,5,3,-1,0,118,0,-1,9,0,5,4,0,-0.007644559,2,19,0,1,2
OAT1,347.063,-4.15813,-1.9276,144.531,302.561,37,4,11,6,0,3,481,0,0,23,4,1,5,0,0,4,37,1,0,2
OAT1,363.058,-4.61334,-2.2252,159.918,307.293,38,4,12,7,-1,3,598,0,-1,24,6,1,5,0,-0.003578983,4,38,1,0,2
OAT1,275.148,-2.97037,-0.772813,123.372,308.577,40,2,10,7,0,0,322,2,-2,19,0,11,8,0.007459486,-0.007459486,11,40,2,2,0
OAT1,188.08,-1.53255,-0.39467,86.5204,206.888,25,1,7,4,-1,0,227,0,-1,13,0,7,4,0,-0.005395286,6,25,1,1,0
OAT1,296.272,7.63171,-6.39539,28.8938,435.285,57,0,3,1,-1,0,246,0,-1,21,0,19,16,0,-0.002728528,16,57,0,1,0
