SLC,molVolume,molLogP,molLogS,molPSA,PSA/Area,nof_HBA,nof_HBD,molCharge_total,nof_Rings,Complexity,nof_posCharge,nof_negCharge,C_R2,C_R1,C_R0,C_sp3,posCharge/Volume,negCharge/Volume,nof_PO4,nof_SO3H,nof_SH,nof_NH2,nof_COOH,nof_OH,nof_acetyl,nof_Chirals
OAT1,501.838,7.37767,-5.35183,48.087,0.08135736,7,0,0,0,426,1,-1,0,0,25,23,0.001992675,-0.001992675,0,0,0,0,1,0,0,1
OAT1,324.393,-2.98461,-2.33477,131.563,0.362839327,9,8,0,3,508,1,-1,0,5,4,8,0.003082681,-0.003082681,0,0,0,1,1,4,0,6
OAT1,825.921,13.1417,-10.3846,74.7928,0.07657289,9,0,0,0,794,1,-1,0,0,40,37,0.00121077,-0.00121077,1,0,0,0,0,0,0,1
OAT1,515.014,3.585,-4.50425,103.881,0.176161155,10,4,0,0,555,1,-1,0,0,23,18,0.001941695,-0.001941695,1,0,0,1,0,1,0,1
OAT1,226.8,-3.41495,0.165885,117.949,0.442185491,10,6,-1,0,306,1,-2,0,0,9,6,0.004409171,-0.008818342,0,0,0,1,2,1,0,3
OAT1,132.925,0.801529,-1.31136,42.6567,0.267039984,5,1,-1,0,128,0,-1,0,0,6,4,0,-0.007523039,0,0,0,0,1,0,0,1
OAT1,130.835,0.807245,-1.13837,42.165,0.255647714,5,1,-1,0,126,0,-1,0,0,6,4,0,-0.007643215,0,0,0,0,1,0,0,0
OAT1,96.2035,-0.455608,0.263635,46.0333,0.35979819,4,2,-1,0,69.3,0,-1,0,0,4,3,0,-0.010394632,0,0,0,0,1,1,0,1
OAT1,95.5813,-0.301796,0.768672,45.3718,0.353969418,4,2,-1,0,69.3,0,-1,0,0,4,3,0,-0.010462298,0,0,0,0,1,1,0,1
OAT1,163.376,0.759085,-1.21554,59.5105,0.31437469,6,2,-1,1,204,0,-1,0,0,3,1,0,-0.00612085,0,0,0,0,1,0,0,0
OAT1,135.274,-1.27443,-0.975255,49.7068,0.283787502,5,3,0,0,97,1,-1,0,0,5,4,0.007392404,-0.007392404,0,0,0,1,1,0,0,1
OAT1,246.784,-2.68489,-1.67721,102.023,0.387759446,7,5,0,2,422,0,0,0,8,2,6,0,0,0,0,0,1,0,3,0,4
